Unicode(s)	Character(s)	Glyph name	Character name(s)	Added
028C,0302	&#x028C;&#x0302;	n/a	LATIN SMALL LETTER TURNED V , COMBINING CIRCUMFLEX ACCENT	&bull;
028C,030C	&#x028C;&#x030C;	n/a	LATIN SMALL LETTER TURNED V , COMBINING CARON	&bull;
028C,0327	&#x028C;&#x0327;	uni028C0327	LATIN SMALL LETTER TURNED V , COMBINING CEDILLA	&bull;
0292,0323,030C	&#x0292;&#x0323;&#x030C;	n/a	LATIN SMALL LETTER EZH , COMBINING DOT BELOW , COMBINING CARON	&bull;
02B7,0308	&#x02B7;&#x0308;	n/a	MODIFIER LETTER SMALL W , COMBINING DIAERESIS	&bull;
02E2,030C	&#x02E2;&#x030C;	n/a	MODIFIER LETTER SMALL S , COMBINING CARON	&bull;
02E2,0323	&#x02E2;&#x0323;	n/a	MODIFIER LETTER SMALL S , COMBINING DOT BELOW	&bull;
02E3,0323	&#x02E3;&#x0323;	n/a	MODIFIER LETTER SMALL X , COMBINING DOT BELOW	&bull;
03B3,0307	&#x03B3;&#x0307;	n/a	GREEK SMALL LETTER GAMMA , COMBINING DOT ABOVE	&bull;
03B3,0311	&#x03B3;&#x0311;	n/a	GREEK SMALL LETTER GAMMA , COMBINING INVERTED BREVE	&bull;
03B3,0323	&#x03B3;&#x0323;	n/a	GREEK SMALL LETTER GAMMA , COMBINING DOT BELOW	&bull;
1D5E,0307	&#x1D5E;&#x0307;	n/a	MODIFIER LETTER SMALL GREEK GAMMA , COMBINING DOT ABOVE	&bull;
1D5E,0323	&#x1D5E;&#x0323;	n/a	MODIFIER LETTER SMALL GREEK GAMMA , COMBINING DOT BELOW	&bull;
1D7B,0327	&#x1D7B;&#x0327;	uni1D7B0327	LATIN SMALL CAPITAL LETTER I WITH STROKE , COMBINING CEDILLA	&bull;
1D7C,0327	&#x1D7C;&#x0327;	uni1D7C0327	LATIN SMALL LETTER IOTA WITH STROKE , COMBINING CEDILLA	&bull;
1D9C,0327	&#x1D9C;&#x0327;	uni1D9C0327	MODIFIER LETTER SMALL C , COMBINING CEDILLA	&bull;
1DBB,030C	&#x1DBB;&#x030C;	n/a	MODIFIER LETTER SMALL Z , COMBINING CARON	&bull;
1DBB,0323	&#x1DBB;&#x0323;	n/a	MODIFIER LETTER SMALL Z , COMBINING DOT BELOW	&bull;
2C6D,0300	&#x2C6D;&#x0300;	n/a	LATIN CAPITAL LETTER ALPHA , COMBINING GRAVE ACCENT	&bull;
2C6D,0301	&#x2C6D;&#x0301;	n/a	LATIN CAPITAL LETTER ALPHA , COMBINING ACUTE ACCENT	&bull;
2C6D,0302	&#x2C6D;&#x0302;	n/a	LATIN CAPITAL LETTER ALPHA , COMBINING CIRCUMFLEX ACCENT	&bull;
2C6D,030C	&#x2C6D;&#x030C;	n/a	LATIN CAPITAL LETTER ALPHA , COMBINING CARON	&bull;
2C6D,0327	&#x2C6D;&#x0327;	uni2C6D0327	LATIN CAPITAL LETTER ALPHA , COMBINING CEDILLA	&bull;
2C6F,0327	&#x2C6F;&#x0327;	uni2C6F0327	LATIN CAPITAL LETTER TURNED A , COMBINING CEDILLA	&bull;
