Unicode(s)	Character(s)	Glyph name	Character name(s)	Added
004F,0323,1DC4	&#x004F;&#x0323;&#x1DC4;	n/a	LATIN CAPITAL LETTER O , COMBINING DOT BELOW , COMBINING MACRON-ACUTE	&bull;
004F,0323,1DC5	&#x004F;&#x0323;&#x1DC5;	n/a	LATIN CAPITAL LETTER O , COMBINING DOT BELOW , COMBINING GRAVE-MACRON	&bull;
004F,0323,1DC6	&#x004F;&#x0323;&#x1DC6;	n/a	LATIN CAPITAL LETTER O , COMBINING DOT BELOW , COMBINING MACRON-GRAVE	&bull;
004F,0323,1DC7	&#x004F;&#x0323;&#x1DC7;	n/a	LATIN CAPITAL LETTER O , COMBINING DOT BELOW , COMBINING ACUTE-MACRON	&bull;
004F,0327	&#x004F;&#x0327;	uni004F0327	LATIN CAPITAL LETTER O , COMBINING CEDILLA	&bull;
004F,0331	&#x004F;&#x0331;	n/a	LATIN CAPITAL LETTER O , COMBINING MACRON BELOW	&bull;
004F,1DC4	&#x004F;&#x1DC4;	n/a	LATIN CAPITAL LETTER O , COMBINING MACRON-ACUTE	&bull;
004F,1DC5	&#x004F;&#x1DC5;	n/a	LATIN CAPITAL LETTER O , COMBINING GRAVE-MACRON	&bull;
004F,1DC6	&#x004F;&#x1DC6;	n/a	LATIN CAPITAL LETTER O , COMBINING MACRON-GRAVE	&bull;
004F,1DC7	&#x004F;&#x1DC7;	n/a	LATIN CAPITAL LETTER O , COMBINING ACUTE-MACRON	&bull;
0050,0304	&#x0050;&#x0304;	n/a	LATIN CAPITAL LETTER P , COMBINING MACRON	&bull;
0052,0300	&#x0052;&#x0300;	n/a	LATIN CAPITAL LETTER R , COMBINING GRAVE ACCENT	&bull;
0055,0308,0306	&#x0055;&#x0308;&#x0306;	n/a	LATIN CAPITAL LETTER U , COMBINING DIAERESIS , COMBINING BREVE	&bull;
0055,030D	&#x0055;&#x030D;	n/a	LATIN CAPITAL LETTER U , COMBINING VERTICAL LINE ABOVE	&bull;
0055,0323,0300	&#x0055;&#x0323;&#x0300;	n/a	LATIN CAPITAL LETTER U , COMBINING DOT BELOW , COMBINING GRAVE ACCENT	&bull;
0055,0323,0301	&#x0055;&#x0323;&#x0301;	n/a	LATIN CAPITAL LETTER U , COMBINING DOT BELOW , COMBINING ACUTE ACCENT	&bull;
0055,0323,0302	&#x0055;&#x0323;&#x0302;	n/a	LATIN CAPITAL LETTER U , COMBINING DOT BELOW , COMBINING CIRCUMFLEX ACCENT	&bull;
0055,0323,0304	&#x0055;&#x0323;&#x0304;	n/a	LATIN CAPITAL LETTER U , COMBINING DOT BELOW , COMBINING MACRON	&bull;
0055,0323,030C	&#x0055;&#x0323;&#x030C;	n/a	LATIN CAPITAL LETTER U , COMBINING DOT BELOW , COMBINING CARON	&bull;
0055,0327	&#x0055;&#x0327;	uni00550327	LATIN CAPITAL LETTER U , COMBINING CEDILLA	&bull;
0055,0331	&#x0055;&#x0331;	n/a	LATIN CAPITAL LETTER U , COMBINING MACRON BELOW	&bull;
0055,1DC4	&#x0055;&#x1DC4;	n/a	LATIN CAPITAL LETTER U , COMBINING MACRON-ACUTE	&bull;
0055,1DC5	&#x0055;&#x1DC5;	n/a	LATIN CAPITAL LETTER U , COMBINING GRAVE-MACRON	&bull;
0055,1DC6	&#x0055;&#x1DC6;	n/a	LATIN CAPITAL LETTER U , COMBINING MACRON-GRAVE	&bull;
0055,1DC7	&#x0055;&#x1DC7;	n/a	LATIN CAPITAL LETTER U , COMBINING ACUTE-MACRON	&bull;
0059,030C	&#x0059;&#x030C;	n/a	LATIN CAPITAL LETTER Y , COMBINING CARON	&bull;
0061,0304,0306	&#x0061;&#x0304;&#x0306;	n/a	LATIN SMALL LETTER A , COMBINING MACRON , COMBINING BREVE	&bull;
0061,0308,0300	&#x0061;&#x0308;&#x0300;	n/a	LATIN SMALL LETTER A , COMBINING DIAERESIS , COMBINING GRAVE ACCENT	&bull;
0061,0308,0301	&#x0061;&#x0308;&#x0301;	n/a	LATIN SMALL LETTER A , COMBINING DIAERESIS , COMBINING ACUTE ACCENT	&bull;
0061,0308,0302	&#x0061;&#x0308;&#x0302;	n/a	LATIN SMALL LETTER A , COMBINING DIAERESIS , COMBINING CIRCUMFLEX ACCENT	&bull;
0061,0308,030C	&#x0061;&#x0308;&#x030C;	n/a	LATIN SMALL LETTER A , COMBINING DIAERESIS , COMBINING CARON	&bull;
0061,0323,0300	&#x0061;&#x0323;&#x0300;	n/a	LATIN SMALL LETTER A , COMBINING DOT BELOW , COMBINING GRAVE ACCENT	&bull;
0061,0323,0301	&#x0061;&#x0323;&#x0301;	n/a	LATIN SMALL LETTER A , COMBINING DOT BELOW , COMBINING ACUTE ACCENT	&bull;
0061,0323,0303	&#x0061;&#x0323;&#x0303;	n/a	LATIN SMALL LETTER A , COMBINING DOT BELOW , COMBINING TILDE	&bull;
0061,0323,030C	&#x0061;&#x0323;&#x030C;	n/a	LATIN SMALL LETTER A , COMBINING DOT BELOW , COMBINING CARON	&bull;
0061,0327	&#x0061;&#x0327;	uni00610327	LATIN SMALL LETTER A , COMBINING CEDILLA	&bull;
0061,1DC4	&#x0061;&#x1DC4;	n/a	LATIN SMALL LETTER A , COMBINING MACRON-ACUTE	&bull;
0061,1DC5	&#x0061;&#x1DC5;	n/a	LATIN SMALL LETTER A , COMBINING GRAVE-MACRON	&bull;
0061,1DC6	&#x0061;&#x1DC6;	n/a	LATIN SMALL LETTER A , COMBINING MACRON-GRAVE	&bull;
0061,1DC7	&#x0061;&#x1DC7;	n/a	LATIN SMALL LETTER A , COMBINING ACUTE-MACRON	&bull;
0062,0313	&#x0062;&#x0313;	n/a	LATIN SMALL LETTER B , COMBINING COMMA ABOVE	&bull;
0062,0355	&#x0062;&#x0355;	n/a	LATIN SMALL LETTER B , COMBINING RIGHT ARROWHEAD BELOW	&bull;
0063,030C,0313	&#x0063;&#x030C;&#x0313;	n/a	LATIN SMALL LETTER C , COMBINING CARON , COMBINING COMMA ABOVE	&bull;
0063,030C,0323	&#x0063;&#x030C;&#x0323;	n/a	LATIN SMALL LETTER C , COMBINING CARON , COMBINING DOT BELOW	&bull;
0063,0313	&#x0063;&#x0313;	n/a	LATIN SMALL LETTER C , COMBINING COMMA ABOVE	&bull;
0064,0313	&#x0064;&#x0313;	n/a	LATIN SMALL LETTER D , COMBINING COMMA ABOVE	&bull;
0064,032A	&#x0064;&#x032A;	n/a	LATIN SMALL LETTER D , COMBINING BRIDGE BELOW	&bull;
0064,032F	&#x0064;&#x032F;	n/a	LATIN SMALL LETTER D , COMBINING INVERTED BREVE BELOW	&bull;
0065,0308,0300	&#x0065;&#x0308;&#x0300;	n/a	LATIN SMALL LETTER E , COMBINING DIAERESIS , COMBINING GRAVE ACCENT	&bull;
0065,0308,0301	&#x0065;&#x0308;&#x0301;	n/a	LATIN SMALL LETTER E , COMBINING DIAERESIS , COMBINING ACUTE ACCENT	&bull;
0065,0308,0302	&#x0065;&#x0308;&#x0302;	n/a	LATIN SMALL LETTER E , COMBINING DIAERESIS , COMBINING CIRCUMFLEX ACCENT	&bull;
0065,0308,0304	&#x0065;&#x0308;&#x0304;	n/a	LATIN SMALL LETTER E , COMBINING DIAERESIS , COMBINING MACRON	&bull;
0065,0308,030C	&#x0065;&#x0308;&#x030C;	n/a	LATIN SMALL LETTER E , COMBINING DIAERESIS , COMBINING CARON	&bull;
0065,030D	&#x0065;&#x030D;	n/a	LATIN SMALL LETTER E , COMBINING VERTICAL LINE ABOVE	&bull;
0065,0323,0300	&#x0065;&#x0323;&#x0300;	n/a	LATIN SMALL LETTER E , COMBINING DOT BELOW , COMBINING GRAVE ACCENT	&bull;
0065,0323,0301	&#x0065;&#x0323;&#x0301;	n/a	LATIN SMALL LETTER E , COMBINING DOT BELOW , COMBINING ACUTE ACCENT	&bull;
0065,0323,0303	&#x0065;&#x0323;&#x0303;	n/a	LATIN SMALL LETTER E , COMBINING DOT BELOW , COMBINING TILDE	&bull;
0065,0323,030C	&#x0065;&#x0323;&#x030C;	n/a	LATIN SMALL LETTER E , COMBINING DOT BELOW , COMBINING CARON	&bull;
0065,0323,1DC4	&#x0065;&#x0323;&#x1DC4;	n/a	LATIN SMALL LETTER E , COMBINING DOT BELOW , COMBINING MACRON-ACUTE	&bull;
0065,0323,1DC5	&#x0065;&#x0323;&#x1DC5;	n/a	LATIN SMALL LETTER E , COMBINING DOT BELOW , COMBINING GRAVE-MACRON	&bull;
0065,0323,1DC6	&#x0065;&#x0323;&#x1DC6;	n/a	LATIN SMALL LETTER E , COMBINING DOT BELOW , COMBINING MACRON-GRAVE	&bull;
0065,0323,1DC7	&#x0065;&#x0323;&#x1DC7;	n/a	LATIN SMALL LETTER E , COMBINING DOT BELOW , COMBINING ACUTE-MACRON	&bull;
0065,0331	&#x0065;&#x0331;	n/a	LATIN SMALL LETTER E , COMBINING MACRON BELOW	&bull;
0065,1DC4	&#x0065;&#x1DC4;	n/a	LATIN SMALL LETTER E , COMBINING MACRON-ACUTE	&bull;
0065,1DC5	&#x0065;&#x1DC5;	n/a	LATIN SMALL LETTER E , COMBINING GRAVE-MACRON	&bull;
0065,1DC6	&#x0065;&#x1DC6;	n/a	LATIN SMALL LETTER E , COMBINING MACRON-GRAVE	&bull;
0065,1DC7	&#x0065;&#x1DC7;	n/a	LATIN SMALL LETTER E , COMBINING ACUTE-MACRON	&bull;
0067,0303	&#x0067;&#x0303;	n/a	LATIN SMALL LETTER G , COMBINING TILDE
0067,0307,0315	&#x0067;&#x0307;&#x0315;	n/a	LATIN SMALL LETTER G , COMBINING DOT ABOVE , COMBINING COMMA ABOVE RIGHT	&bull;
0067,0311	&#x0067;&#x0311;	n/a	LATIN SMALL LETTER G , COMBINING INVERTED BREVE	&bull;
0067,0313	&#x0067;&#x0313;	n/a	LATIN SMALL LETTER G , COMBINING COMMA ABOVE	&bull;
0067,0323	&#x0067;&#x0323;	n/a	LATIN SMALL LETTER G , COMBINING DOT BELOW	&bull;
0069,0308,0300	&#x0069;&#x0308;&#x0300;	n/a	LATIN SMALL LETTER I , COMBINING DIAERESIS , COMBINING GRAVE ACCENT	&bull;
0069,0308,0302	&#x0069;&#x0308;&#x0302;	n/a	LATIN SMALL LETTER I , COMBINING DIAERESIS , COMBINING CIRCUMFLEX ACCENT	&bull;
0069,0308,0304	&#x0069;&#x0308;&#x0304;	n/a	LATIN SMALL LETTER I , COMBINING DIAERESIS , COMBINING MACRON	&bull;
0069,0308,030C	&#x0069;&#x0308;&#x030C;	n/a	LATIN SMALL LETTER I , COMBINING DIAERESIS , COMBINING CARON	&bull;
0069,030D	&#x0069;&#x030D;	n/a	LATIN SMALL LETTER I , COMBINING VERTICAL LINE ABOVE	&bull;
0069,0323,0300	&#x0069;&#x0323;&#x0300;	n/a	LATIN SMALL LETTER I , COMBINING DOT BELOW , COMBINING GRAVE ACCENT	&bull;
0069,0323,0301	&#x0069;&#x0323;&#x0301;	n/a	LATIN SMALL LETTER I , COMBINING DOT BELOW , COMBINING ACUTE ACCENT	&bull;
0069,0323,0302	&#x0069;&#x0323;&#x0302;	n/a	LATIN SMALL LETTER I , COMBINING DOT BELOW , COMBINING CIRCUMFLEX ACCENT	&bull;
0069,0323,0303	&#x0069;&#x0323;&#x0303;	n/a	LATIN SMALL LETTER I , COMBINING DOT BELOW , COMBINING TILDE	&bull;
0069,0323,0304	&#x0069;&#x0323;&#x0304;	n/a	LATIN SMALL LETTER I , COMBINING DOT BELOW , COMBINING MACRON	&bull;
0069,0323,1DC4	&#x0069;&#x0323;&#x1DC4;	n/a	LATIN SMALL LETTER I , COMBINING DOT BELOW , COMBINING MACRON-ACUTE	&bull;
0069,0323,1DC5	&#x0069;&#x0323;&#x1DC5;	n/a	LATIN SMALL LETTER I , COMBINING DOT BELOW , COMBINING GRAVE-MACRON	&bull;
0069,0327	&#x0069;&#x0327;	uni00690327	LATIN SMALL LETTER I , COMBINING CEDILLA	&bull;
0069,0331	&#x0069;&#x0331;	n/a	LATIN SMALL LETTER I , COMBINING MACRON BELOW	&bull;
0069,1DC4	&#x0069;&#x1DC4;	n/a	LATIN SMALL LETTER I , COMBINING MACRON-ACUTE	&bull;
0069,1DC5	&#x0069;&#x1DC5;	n/a	LATIN SMALL LETTER I , COMBINING GRAVE-MACRON	&bull;
0069,1DC6	&#x0069;&#x1DC6;	n/a	LATIN SMALL LETTER I , COMBINING MACRON-GRAVE	&bull;
0069,1DC7	&#x0069;&#x1DC7;	n/a	LATIN SMALL LETTER I , COMBINING ACUTE-MACRON	&bull;
006B,0313	&#x006B;&#x0313;	n/a	LATIN SMALL LETTER K , COMBINING COMMA ABOVE	&bull;
006B,032F	&#x006B;&#x032F;	n/a	LATIN SMALL LETTER K , COMBINING INVERTED BREVE BELOW	&bull;
